draw,gpp,lai_mean,lai_max,ceff,lma,f_auto,c_fol_0,f_fol,f_lab,d_onset,cr_onset,cr_fall,c_lf
23,1325.7243064364907,4.735028797067241,12.282433044938603,11.079246648569583,171.87826833458783,0.6544703030857228,675.1423730667867,0.053010457931441705,0.04218078634220971,221.87659660370556,77.89429783598604,81.40588961132701,0.2667175107650095
24,3133.647539617401,8.422141759874624,9.717614091769562,74.53195285722198,186.9302894278564,0.5100761223621949,1190.4962833729574,0.0686498681952044,0.11444865465639428,205.26196840727894,66.09567303505843,73.84234248653979,0.29650033099746487
25,3208.7516489011923,12.896796137919532,14.9951287812922,53.32314954523642,169.1589275874246,0.4301875614016883,1120.3254935439668,0.08704170965446222,0.0645766470295742,52.74009202175898,94.72309074568619,30.259181495588763,0.21019759211949
26,2797.0628662726767,4.09753406084741,5.184778622556085,76.87596957316507,205.07163114629623,0.6373079576620073,807.114743729046,0.009183175807716973,0.060427720401678285,25.636868080021355,73.01566711310173,47.39605821021635,0.21547632524079902
27,3266.901347395402,10.978683043292664,14.322770542615627,87.2144472332747,176.1585751973943,0.6001323901876104,1365.8670978685698,0.03704267016450848,0.16280890284420366,82.76716525958865,15.189771229651274,145.46795513058936,0.2563024701013346
28,1769.976688633436,3.1309406067642604,9.875050338702659,37.27556334582624,216.01017488322822,0.4470562863743018,252.4710321976145,0.042466128199090764,0.03919278944091898,297.36628051502464,18.243720854355292,41.788634694768135,0.32516831307781835
29,3316.112101504171,17.838537823881328,23.051343853434815,86.38964135804231,148.3806337650936,0.6079708251036315,1922.9871426981204,0.07681971087626936,0.10377959213994924,34.53445134031936,56.75389094897597,65.33815396038167,0.20937903543327852
30,3161.7228271291115,8.802134792066157,10.353515906396439,67.467415857334,152.41289979839922,0.3435351343638247,1370.5478602711346,0.07514221103265215,0.07127888791894542,357.5411131051221,25.71056531957947,130.91049145799883,0.26246061626801276
31,3303.854024414212,20.66514316786996,25.754308734105706,65.07860917589224,144.0487468898995,0.3443257379015514,1361.0405997631644,0.20073828919154482,0.03717583428623771,77.67894599535363,12.312849096551128,25.765149316852394,0.20420557082597623
32,3008.522947996967,7.707857226412425,13.870078998805567,53.54587840541197,163.12091881916962,0.6078625531874683,569.5791819684156,0.03727612124159864,0.07203285384257858,247.9029302963426,75.19906075511665,116.69071566755693,0.25870592545496035
33,3146.323242187204,6.767615777914268,9.636393526165383,98.97022000336764,233.80718178427975,0.49862840469234704,894.2718336379427,0.0674564671930302,0.06035979241355806,191.89706414520356,98.83175846850875,140.66221908192279,0.2228049977926985
34,2948.165704735743,4.897458001227856,5.926723311954135,87.44039975474914,232.10923392909154,0.44471440822476094,317.1438050558452,0.04386992251851186,0.06807434510654149,43.366162297102846,96.207101746687,88.1115460191436,0.2015915269405464
35,2538.8923987594408,4.6013170699515795,5.399830391300606,38.96317381771045,221.28002418908974,0.4621744908541759,537.674982612138,0.026909538639468742,0.06530271486953813,35.43268419883811,59.340593223426474,66.87425404274452,0.20060031303588505
36,2979.6498476025095,5.272119735754264,5.728283341303478,83.96914067819128,176.53499885486235,0.5588351793641129,208.33663606901894,0.09035821874020014,0.03607147105871609,157.75518580054768,52.66989723221143,105.24124082982492,0.3017410520526786
37,3257.040189826478,13.045932994389101,16.17500987761255,89.91228002351419,233.5164359376381,0.33787560135984185,936.4139636860215,0.22708480921901272,0.12728092055770351,283.16302603898055,50.10927012874927,89.24680597167895,0.2667309683533736
38,2474.8396459544274,7.883162112165628,21.791500855208383,21.985574982571674,151.01820315270584,0.6588858487798429,1818.9620701850845,0.027972232937350044,0.08105836349838927,99.34400377350174,15.967343374003214,89.20569618822684,0.2909606795700946
39,3252.0647819098413,14.066893417595082,15.718406105251619,65.31831791628699,171.1061535438632,0.42729778668130813,1074.7256931472493,0.1182953282574334,0.08328855279880441,257.03243633931413,70.60902741412593,100.34253380076983,0.21879658955209993
40,2603.163584741051,4.267579276138827,12.730620993874066,68.78445940154873,170.3391614420979,0.5156442384055643,1093.0607308635124,0.04691987851960477,0.02885055086175038,342.15356169182337,36.86188908061861,100.18667389214691,0.32376433234361923
41,2414.555619305828,4.268806211798439,10.655359591962855,43.745363083526414,199.76597944777905,0.6809512560749652,713.6040663591268,0.07760984214511117,0.01258041978379201,347.772465033752,91.94065458577047,110.9803228463214,0.291597623706952
42,2481.338406326369,8.825751712398654,13.744250667543167,17.12275552132185,183.20097896565835,0.39888572701920133,1212.0906601039028,0.06090761727883368,0.07488116961709285,98.4032315005976,47.982584028729775,79.05747914937945,0.22309307109685939
43,3145.078886692596,11.611414925213536,14.01075803593996,91.71659251842004,174.6281025900572,0.47676740878321133,160.63055610484108,0.030034512849940128,0.16454852143862028,236.1115351496866,26.43065252557039,144.92270881098926,0.21734475940160058
44,1559.8676510547377,4.016026601655112,8.036023744670462,15.570099663281546,177.4942634607878,0.6218024728923097,880.9533806435968,0.07373304983479946,0.06590653605951086,148.9270758690324,31.78823130410609,95.87309255822653,0.31888430970229065
45,2126.4161895834077,2.8882200986209488,7.441772513040682,69.59228999857599,232.10916149331422,0.6861454279637554,1491.0803423208984,0.011133656299796603,0.05696840735513276,257.18938528071,45.301148061192315,110.43595898096919,0.3016400626268273
46,3108.144430956786,11.845691176742948,17.080361362904455,38.2745808197997,145.26314731519943,0.44722564041089763,812.750217515969,0.058314347950748247,0.07368107517993004,59.8310468297766,56.83591381870321,24.56256948989475,0.2533608825648278
47,928.4406839908742,2.5152324771387833,5.918142239216527,12.610513772809519,234.1372369495656,0.6356478285690053,739.1262435423927,0.04295947758844512,0.04201420392504913,263.02267637676596,40.54903816947112,102.74289918385675,0.22825333327597538
48,3193.8865068165223,8.258494560460404,10.130533489124424,87.0333932940891,238.26624505195255,0.35731975250155473,1920.5929920034453,0.1129602627377576,0.04625516317988104,102.90938282313606,20.198453131525724,114.8589480509865,0.2109476343860356
